Index,ITEM NO,DOM RLS CODE,MANUFACT WHSE,PRODUCT CLASS,PROD CLASS DESC ,ITEM HSE PROD LINE,ITEM HSE PROD LINE DESC,BUSINESS SEGMENT CDE,BUSINESS SEGMENT DESC,APPLICATION CDE,APPLICATION DESC,PRODUCT TYPE,PRODUCT TYPE DESC,PRODUCT GROUP,PRODUCT GROUP DESC,PROD SYSTEM,PROD SYSTEM DESC,PROD SUBSYSTEM,PROD SUBSYSTEM DESC,PROD FAMILY,PROD FAMILY DESC,MANUFACT TYPE CODE,INSTRUMENT DESC,VERTEX PROD ID
36,37,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UZ,JGKNT2.9MM DBL LDD NS BB,FGM,MISS,41N
37,38,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UY,JGKNT2.9MM DBL LDD NS BB,FGM,MISS,41N
38,39,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UZ,JGKNT2.9MM DBL LDD NS BB,FGM,MISS,41N
39,40,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UW,JGKNT2.9MM TRPL LDD SL BB,FGM,MISS,41N
40,41,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UX,JGKNT2.9MM TRPL LDD SL BB,FGM,MISS,41N
41,42,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V0,JGKNT2.9MM TRPL LDD NS BB,FGM,MISS,41N
42,43,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V1,JGKNT2.9MM TRPL LDD NS BB,FGM,MISS,41N
43,44,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
44,45,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
45,46,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
46,47,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
47,48,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
48,49,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
49,50,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
50,51,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
51,52,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
52,53,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
53,54,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
54,55,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
55,56,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
56,57,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
57,58,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
58,59,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
59,60,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
60,61,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
61,62,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
62,63,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,,,FGM,N,41N
